headline,expire,price_home,price_away,weight_home,weight_away,event,is_primary,game_tag,result
尤文图斯肯定能击败那不勒斯,2014-12-23 01:30,80,20,160,40,260,1,体育,-
布拉加能赢费雷拉,2014-12-23 03:00,84,16,168,32,261,1,体育,-
莱红牛将击败慕1860,2014-12-23 03:15,86,14,172,28,262,1,体育,-
斯托克城能赢切尔西,2014-12-23 04:00,47,53,94,106,263,1,体育,-
里奥阿维将击败比兰尼,2014-12-23 05:00,82,18,164,36,264,1,体育,-
