headline,expire,price_home,price_away,weight_home,weight_away,event,is_primary,game_tag,result
霍芬海姆能击败法兰克福,2014-12-13 03:30:00,81,19,162,38,30,1,体育,1:0
沙尔克0能赢科隆,2014-12-13 22:30:00,79,21,158,42,31,1,体育,0:0
奥格斯堡将击败拜仁,2014-12-13 22:30:00,41,59,82,118,32,1,体育,0:0
柏林赫塔肯定能击败多特蒙德,2014-12-13 22:30:00,51,49,102,98,33,1,体育,1:0
不来梅能击败汉诺威9,2014-12-13 22:30:00,69,31,138,62,34,1,体育,1:1
弗赖堡肯定能击败汉堡,2014-12-13 22:30:00,72,28,144,56,35,1,体育,0:0
美因茨能赢斯图加特,2014-12-14 01:30:00,74,26,148,52,36,1,体育,1:0
勒沃库森能击败门兴,2014-12-14 22:30:00,83,17,166,34,37,1,体育,-
沃夫斯堡将击败帕德博恩,2014-12-15 00:30:00,90,10,180,20,38,1,体育,-
